day,day_title,en,zh
1,身體結構入門指南,Cerebrum,大腦
1,身體結構入門指南,Heart,心
1,身體結構入門指南,Liver,肝
1,身體結構入門指南,Lung,肺
1,身體結構入門指南,Spleen,脾
1,身體結構入門指南,Sternum,胸骨
1,身體結構入門指南,Median,正中面
1,身體結構入門指南,Sagittal,矢狀面
1,身體結構入門指南,Coronal,冠狀面
1,身體結構入門指南,Frontal,額面
1,身體結構入門指南,Transverse,橫切面
1,身體結構入門指南,Cross,橫切面
1,身體結構入門指南,Cranial,頭顱的
1,身體結構入門指南,Superior,上方的
1,身體結構入門指南,Anterior,前面的
1,身體結構入門指南,Ventral,腹部的
1,身體結構入門指南,Rostral,嘴側的
1,身體結構入門指南,Posterior,後面的
1,身體結構入門指南,Dorsal,背部的
1,身體結構入門指南,Medial,內側的
1,身體結構入門指南,Lateral,外側的
1,身體結構入門指南,Proximal,近端的
1,身體結構入門指南,Distal,遠端的
1,身體結構入門指南,Caudal,尾部的
1,身體結構入門指南,Inferior,下方的
1,身體結構入門指南,Superficial,淺層的
1,身體結構入門指南,Deep,深的
1,身體結構入門指南,Ipsilateral,同側的
1,身體結構入門指南,Contralateral,對側的
2,身體系統（1）,Adrenal gland,腎上腺
2,身體系統（1）,Artery,動脈
2,身體系統（1）,Brain,腦
2,身體系統（1）,Cardiac muscle,心肌
2,身體系統（1）,Cauda equina,馬尾
2,身體系統（1）,Heart,心臟
2,身體系統（1）,Hypophysis,腦下垂體（腦下腺）
2,身體系統（1）,Islets,胰島
2,身體系統（1）,Joint capsule,關節囊
2,身體系統（1）,Ligament,韌帶
2,身體系統（1）,Lymph node,淋巴結
2,身體系統（1）,Lymph vessel,淋巴管
2,身體系統（1）,Nerve,神經
2,身體系統（1）,Ovary,卵巢
2,身體系統（1）,Pelvis,骨盆
2,身體系統（1）,Pineal,松果腺
2,身體系統（1）,Rib cage,肋骨架
2,身體系統（1）,Skeletal muscle,骨骼肌
2,身體系統（1）,Skull,頭顱
2,身體系統（1）,Smooth muscle,平滑肌
2,身體系統（1）,Spinal cord,脊髓
2,身體系統（1）,Testis,睪丸
2,身體系統（1）,Tissue,組織
2,身體系統（1）,Thoracic duct,胸管
2,身體系統（1）,Thymus,胸腺
2,身體系統（1）,Thyroid,甲狀腺
2,身體系統（1）,Vein,靜脈
2,身體系統（1）,Vertebral column,脊柱
3,身體系統（2）,Alveoli,肺泡
3,身體系統（2）,Blood vessel,血管
3,身體系統（2）,Bone marrow,骨髓
3,身體系統（2）,Diaphragm,橫膈膜
3,身體系統（2）,Ductus deferens,輸精管
3,身體系統（2）,Esophagus,食道
3,身體系統（2）,Gastrointestinal tract,胃腸道
3,身體系統（2）,Intestine,腸
3,身體系統（2）,Kidney,腎
3,身體系統（2）,Larynx,喉
3,身體系統（2）,Liver,肝
3,身體系統（2）,Lungs,肺
3,身體系統（2）,Lymph nodes,淋巴結
3,身體系統（2）,Microglia,微小神經膠細胞
3,身體系統（2）,Nasal cavity,鼻腔
3,身體系統（2）,Ovary,卵巢
3,身體系統（2）,Penis,陰莖
3,身體系統（2）,Prostate,攝護腺
3,身體系統（2）,Salivary gland,唾液腺
3,身體系統（2）,Seminal vesicle,儲精囊
3,身體系統（2）,Spleen,脾
3,身體系統（2）,Testis,睪丸
3,身體系統（2）,Thymus,胸腺
3,身體系統（2）,Tonsil,扁桃腺
3,身體系統（2）,Trachea,氣管
3,身體系統（2）,Ureter,輸尿管
3,身體系統（2）,Urethra,尿道
3,身體系統（2）,Urinary bladder,膀胱
3,身體系統（2）,Uterine tube,輸卵管
3,身體系統（2）,Uterus,子宮
3,身體系統（2）,Vagina,陰道
4,腔隙與襯膜,Abdominal wall,腹壁
4,腔隙與襯膜,Anterior thoracic wall,前胸壁
